"code","iso","country","APR.raw.2015","APR.raw.2020"
4,"AFG","Afghanistan",12.45321776,13.13483026
8,"ALB","Albania",8.930759232,9.532293596
12,"DZA","Algeria",1.208934518,1.27322021
20,"AND","Andorra",4.013277311,3.480068037
24,"AGO","Angola",0.078237554,0.083847284
660,"AIA","Anguilla",-9999,-9999
28,"ATG","Antigua and Barbuda",-9999,-9999
32,"ARG","Argentina",9.32918369,9.820393656
51,"ARM","Armenia",2.80932251,2.921772914
533,"ABW","Aruba",-9999,-9999
36,"AUS","Australia",2.684423042,2.879592005
40,"AUT","Austria",6.386685121,7.046839319
31,"AZE","Azerbaijan",1.727202069,1.8259056
44,"BHS","Bahamas",-9999,-9999
48,"BHR","Bahrain",-9999,-9999
50,"BGD","Bangladesh",4.641613811,5.136498522
52,"BRB","Barbados",-9999,-9999
112,"BLR","Belarus",2.056787395,2.222451302
56,"BEL","Belgium",28.71159503,33.19313336
84,"BLZ","Belize",19.7,21.70997928
204,"BEN","Benin",6.518292966,6.782331275
60,"BMU","Bermuda",-9999,-9999
64,"BTN","Bhutan",0.251206872,0.260481443
68,"BOL","Bolivia",8.693383462,9.746430109
70,"BIH","Bosnia and Herzegovina",11.79536556,10.6086399
72,"BWA","Botswana",0.01565275,0.01752933
76,"BRA","Brazil",17.68178447,19.84187991
92,"VGB","British Virgin Islands",-9999,-9999
96,"BRN","Brunei Darussalam",4.141242649,4.425716628
100,"BGR","Bulgaria",2.507207487,2.72467671
854,"BFA","Burkina Faso",0.724425758,0.806700268
108,"BDI","Burundi",0.051997419,0.056898639
132,"CPV","Cabo Verde",-9999,-9999
116,"KHM","Cambodia",13.27742381,14.79128327
120,"CMR","Cameroon",1.043260281,1.142703723
124,"CAN","Canada",4.70113455,4.8705361
136,"CYM","Cayman Islands",-9999,-9999
140,"CAF","Central African Republic",0.05456064,0.060326302
148,"TCD","Chad",0.026165787,0.029771357
152,"CHL","Chile",6.276364837,6.789536355
156,"CHN","China",20.07934341,21.06152607
170,"COL","Colombia",17.88942435,20.44206443
174,"COM","Comoros",-9999,-9999
184,"COK","Cook Islands",-9999,-9999
188,"CRI","Costa Rica",35.45147415,39.4856808
384,"CIV","Cote d'Ivoire",0.067715596,0.073901468
191,"HRV","Croatia",3.753926262,4.463116241
192,"CUB","Cuba",16.5,18.0110609
531,"CUW","Curacao",-9999,-9999
196,"CYP","Cyprus",47.94167399,56.38384561
203,"CZE","Czech Republic",10.46710827,11.16578867
180,"COD","Dem. Rep. Congo",16.56143324,17.65000683
208,"DNK","Denmark",6.559982815,5.250690845
262,"DJI","Djibouti",1.039945525,1.154028881
212,"DMA","Dominica",-9999,-9999
214,"DOM","Dominican Republic",17.47362271,19.18694104
218,"ECU","Ecuador",29.12406137,32.11869284
818,"EGY","Egypt",2.084337689,2.261679877
222,"SLV","El Salvador",32.51228679,36.11955916
226,"GNQ","Equatorial Guinea",8.313751964,8.819829416
232,"ERI","Eritrea",0.052990542,0.05973879
233,"EST","Estonia",1.589502798,1.887396823
748,"SWZ","Eswatini",6.711424182,7.171508103
231,"ETH","Ethiopia",0.85474045,0.967204263
234,"FRO","Faeroe Islands",-9999,-9999
238,"FLK","Falkland Islands",-9999,-9999
242,"FJI","Fiji",-9999,-9999
246,"FIN","Finland",1.125838663,1.370459012
250,"FRA","France",18.33519061,19.01052917
258,"PYF","French Polynesia",-9999,-9999
266,"GAB","Gabon",8.416039576,8.838149967
270,"GMB","Gambia",8.52128812,9.489078488
268,"GEO","Georgia",14.92622497,15.07769407
276,"DEU","Germany",12.14893564,14.26452383
288,"GHA","Ghana",0.176130071,0.196519428
300,"GRC","Greece",10.02397661,10.57968665
304,"GRL","Greenland",-9999,-9999
308,"GRD","Grenada",-9999,-9999
320,"GTM","Guatemala",29.1245043,32.40230586
831,"GGY","Guernsey",-9999,-9999
324,"GIN","Guinea",0.480027005,0.535992132
624,"GNB","Guinea-Bissau",0.606441,0.673435905
328,"GUY","Guyana",1.286544261,1.423977938
332,"HTI","Haiti",0.177563553,0.194719232
336,"VAT","Holy See",-9999,-9999
340,"HND","Honduras",14.7176905,16.58881285
344,"HKG","Hong Kong",-9999,-9999
348,"HUN","Hungary",8.236705015,9.252470225
352,"ISL","Iceland",-9999,-9999
356,"IND","India",1.077864145,1.18293774
360,"IDN","Indonesia",0.433551146,0.480429429
364,"IRN","Iran",0.969360557,1.009094867
368,"IRQ","Iraq",4.612869213,4.99747663
372,"IRL","Ireland",13.46094069,13.92254328
833,"IMN","Isle of Man",-9999,-9999
376,"ISR","Israel",31.35231642,31.97264049
380,"ITA","Italy",21.0971427,22.75644411
388,"JAM","Jamaica",7.401172937,8.241365438
392,"JPN","Japan",33.34359544,35.21161437
832,"JEY","Jersey",-9999,-9999
400,"JOR","Jordan",1.125605127,1.176296321
398,"KAZ","Kazakhstan",1.067816421,1.136313481
404,"KEN","Kenya",0.420553104,0.474974857
296,"KIR","Kiribati",-9999,-9999
689,"XKX","Kosovo",11.25481668,10.31341863
414,"KWT","Kuwait",0.569549362,0.603253277
417,"KGZ","Kyrgyzstan",2.360281875,2.490480058
418,"LAO","Laos",0.190373558,0.207536402
428,"LVA","Latvia",3.105240048,3.715043632
422,"LBN","Lebanon",12.19488687,12.84556103
426,"LSO","Lesotho",0.816471796,0.916913859
430,"LBR","Liberia",7.895662018,8.049571491
434,"LBY","Libya",0.650848087,0.685085822
438,"LIE","Liechtenstein",28.10690195,28.0981221
440,"LTU","Lithuania",3.34120397,3.602780451
442,"LUX","Luxembourg",10.85900662,12.08970067
446,"MAC","Macao",-9999,-9999
450,"MDG","Madagascar",0.252902534,0.276759205
454,"MWI","Malawi",2.524175922,2.826337852
458,"MYS","Malaysia",65.26504727,71.71329919
462,"MDV","Maldives",-9999,-9999
466,"MLI","Mali",0.00336677,0.003735535
470,"MLT","Malta",-9999,-9999
584,"MHL","Marshall Islands",-9999,-9999
478,"MRT","Mauritania",0.041644099,0.046610418
480,"MUS","Mauritius",-9999,-9999
484,"MEX","Mexico",4.679745005,5.224330052
583,"FSM","Micronesia",-9999,-9999
498,"MDA","Moldova",6.352898234,6.812118802
492,"MCO","Monaco",-9999,-9999
496,"MNG","Mongolia",0.144527294,0.151965635
499,"MNE","Montenegro",1.07,1.085470807
504,"MAR","Morocco",3.771429154,4.01136379
508,"MOZ","Mozambique",0.368705395,0.412472484
104,"MMR","Myanmar",1.724403858,1.887295463
516,"NAM","Namibia",0.032478729,0.036806162
520,"NRU","Nauru",-9999,-9999
524,"NPL","Nepal",0.387506611,0.412411589
528,"NLD","Netherlands",24.46166071,27.40325253
540,"NCL","New Caledonia",-9999,-9999
554,"NZL","New Zealand",6.556306082,6.901605141
558,"NIC","Nicaragua",8.095547025,8.962930108
562,"NER","Niger",0.014996771,0.015307472
566,"NGA","Nigeria",18.48745778,18.8226543
570,"NIU","Niue",-9999,-9999
408,"PRK","North Korea",25.68015589,26.77082522
807,"MKD","North Macedonia",0.948723298,0.981349348
578,"NOR","Norway",3.280319881,3.515789068
512,"OMN","Oman",1.130628534,1.176053856
586,"PAK","Pakistan",0.044751329,0.047415726
585,"PLW","Palau",-9999,-9999
591,"PAN","Panama",11.84584595,13.27440148
598,"PNG","Papua New Guinea",0.158065696,0.181914617
600,"PRY","Paraguay",15.26149107,16.82576937
604,"PER","Peru",13.70817946,15.1501154
608,"PHL","Philippines",34.8,37.96463332
616,"POL","Poland",7.558327406,7.221744128
620,"PRT","Portugal",13.90201616,14.35869266
634,"QAT","Qatar",0.158436317,0.158418428
178,"COG","Republic of Congo",0.198613429,0.209864565
642,"ROU","Romania",2.339882906,2.638402654
643,"RUS","Russia",1.144200532,1.242884511
646,"RWA","Rwanda",0.93213152,1.030001979
652,"BLM","Saint Barthelemy",-9999,-9999
659,"KNA","Saint Kitts and Nevis",-9999,-9999
662,"LCA","Saint Lucia",-9999,-9999
670,"VCT","Saint Vincent and the Grenadines",-9999,-9999
882,"WSM","Samoa",-9999,-9999
674,"SMR","San Marino",41.01778845,35.76038076
678,"STP","Sao Tome and Principe",-9999,-9999
682,"SAU","Saudi Arabia",5.485544774,5.932415544
686,"SEN","Senegal",0.671653734,0.738001228
688,"SRB","Serbia",10.67633845,9.763291804
690,"SYC","Seychelles",-9999,-9999
694,"SLE","Sierra Leone",6.411601538,6.567410817
702,"SGP","Singapore",35.40197189,40.91458026
534,"SXM","Sint Maarten",-9999,-9999
703,"SVK","Slovakia",4.691327442,5.170577741
705,"SVN","Slovenia",7.900080402,9.242266156
90,"SLB","Solomon Islands",-9999,-9999
706,"SOM","Somalia",12.8797828,14.33979777
710,"ZAF","South Africa",7.593691264,8.306685481
410,"KOR","South Korea",24.75340957,25.92947583
728,"SSD","South Sudan",0.81119887,0.90343096
724,"ESP","Spain",15.74502563,15.2926865
144,"LKA","Sri Lanka",6.909987274,7.048964533
275,"PSE","State of Palestine",26.00383438,27.39477084
729,"SDN","Sudan",0.474069301,0.528058922
740,"SUR","Suriname",32.26648089,33.56153961
752,"SWE","Sweden",1.106956409,1.597343468
756,"CHE","Switzerland",15.46220261,16.49431065
760,"SYR","Syria",0.837726223,0.894494937
158,"TWN","Taiwan",24.84362978,26.5228068
762,"TJK","Tajikistan",1.307520923,1.35658821
834,"TZA","Tanzania",0.001357266,0.001519305
764,"THA","Thailand",4.991845043,5.515572971
626,"TLS","Timor-Leste",0.035492297,0.039249715
768,"TGO","Togo",1.64626687,1.8232986
776,"TON","Tonga",-9999,-9999
780,"TTO","Trinidad and Tobago",76.7051125,84.18731354
788,"TUN","Tunisia",0.494797394,0.522844132
792,"TUR","Turkey",7.932958914,8.314973622
795,"TKM","Turkmenistan",8.619403265,8.968557655
796,"TCA","Turks and Caicos Islands",-9999,-9999
798,"TUV","Tuvalu",-8888,-8888
800,"UGA","Uganda",0.103399759,0.110922089
804,"UKR","Ukraine",14.27950945,15.27919409
784,"ARE","United Arab Emirates",22.51295854,22.26466897
826,"GBR","United Kingdom",13.75153321,13.8105527
840,"USA","United States of America",5.522375134,5.974166487
858,"URY","Uruguay",29.03229023,30.69173993
860,"UZB","Uzbekistan",12.98264954,13.28064522
548,"VUT","Vanuatu",-9999,-9999
862,"VEN","Venezuela",3.023125192,3.412706667
704,"VNM","Viet Nam",6.503544476,7.173745491
876,"WLF","Wallis and Futuna Islands",-9999,-9999
732,"ESH","Western Sahara",0.007390264,0.006953974
887,"YEM","Yemen",0.085704458,0.095528644
894,"ZMB","Zambia",1.42498272,1.612511244
716,"ZWE","Zimbabwe",2.90575801,3.231860677
