"code","iso","country","OCP.raw.1990","OCP.raw.1995","OCP.raw.2000","OCP.raw.2005","OCP.raw.2010","OCP.raw.2015","OCP.raw.2020"
4,"AFG","Afghanistan",0,0,0,0,0,0.0633095,0.084412667
8,"ALB","Albania",0.022308913,0.021200771,0.022106587,0.022555457,0.021816855,0.024455108,0.013533145
12,"DZA","Algeria",0.099560289,0.11050249,0.119778192,0.126461653,0.135645296,0.29071626,0.171700363
20,"AND","Andorra",0,0,0,0,0,0,0
24,"AGO","Angola",0.005906181,0.006232501,0.007636874,0.010125444,0.013160196,0.092136192,0.059434142
660,"AIA","Anguilla",3.29e-05,3.87e-05,4.37e-05,4.98e-05,5.43e-05,2.98e-05,2.98e-05
28,"ATG","Antigua and Barbuda",5.44e-05,4.36e-05,2.77e-05,3.03e-05,3.22e-05,4.75e-05,2.64e-05
32,"ARG","Argentina",0.102431439,0.09788188,0.097631918,0.096253401,0.069929703,0.12552042,0.073795768
51,"ARM","Armenia",0,0,0,0,0,0,0
533,"ABW","Aruba",0.00042265,0.000540962,0.000604108,0.000669906,0.000703385,0.000695676,0.000781738
36,"AUS","Australia",0.038434584,0.040330799,0.04203015,0.044144201,0.047261165,0.029628497,0.011957721
40,"AUT","Austria",0,0,0,0,0,0,0
31,"AZE","Azerbaijan",0,0,0,0,0,0,0
44,"BHS","Bahamas",0.001408004,0.001553821,0.001620618,0.001779973,0.001955018,0.004066749,0.002387341
48,"BHR","Bahrain",0.001110329,0.001258057,0.001478591,0.001963913,0.002744929,0.001977742,0.00092034
50,"BGD","Bangladesh",0.055091606,0.065752601,0.080083361,0.097980065,0.118061088,0.167718911,0.105916576
52,"BRB","Barbados",0.001270021,0.001302372,0.001307218,0.001321232,0.001349463,0.001353718,0.00037223
112,"BLR","Belarus",0,0,0,0,0,0,0
56,"BEL","Belgium",0.011476618,0.011561551,0.011471809,0.011621329,0.012033453,0.008231493,0.003478149
84,"BLZ","Belize",0.001390638,0.001576499,0.001900702,0.002182417,0.002478704,0.003435033,0.002043681
204,"BEN","Benin",0.001558277,0.001890863,0.002310477,0.002736758,0.003260313,0.012298519,0.008482069
60,"BMU","Bermuda",0.000285079,0.000285704,0.000289313,0.000292799,0.000292322,0.000286211,0.000269814
64,"BTN","Bhutan",0,0,0,0,0,0,0
68,"BOL","Bolivia",0,0,0,0,0,0.0077915,0.010388667
70,"BIH","Bosnia and Herzegovina",0.002221788,0.002050452,0.002941648,0.003001098,0.003018506,0.010155376,0.006269516
72,"BWA","Botswana",0,0,0,0,0,0.00196,0.002613333
76,"BRA","Brazil",0.486542227,0.514628078,0.550496917,0.566693262,0.518248783,0.542064244,0.299773695
92,"VGB","British Virgin Islands",8.33e-05,7.11e-05,7.43e-05,8.28e-05,9.53e-05,9.86e-05,9.27e-05
96,"BRN","Brunei Darussalam",0.001616954,0.001861224,0.002095791,0.002298117,0.002468355,0.003743902,0.002149525
100,"BGR","Bulgaria",0.011718006,0.011965112,0.011573087,0.008975248,0.007076189,0.011967212,0.007080675
854,"BFA","Burkina Faso",0,0,0,0,0,0,0
108,"BDI","Burundi",0,0,0,0,0,0,0
132,"CPV","Cabo Verde",0.001018261,0.001133286,0.001245964,0.001354903,0.001465979,0.001527576,0.000406334
116,"KHM","Cambodia",0.000943884,0.001197994,0.001567875,0.002089807,0.002507455,0.014577182,0.009862478
120,"CMR","Cameroon",0.001793434,0.001820565,0.002181028,0.002557929,0.002955316,0.012094833,0.012929749
124,"CAN","Canada",0.043346827,0.045458499,0.045757557,0.047033852,0.049394592,0.037546852,0.016907506
136,"CYM","Cayman Islands",0.000377502,0.000509008,0.000676935,0.000784409,0.000895863,0.000975085,0.000913063
140,"CAF","Central African Republic",0,0,0,0,0,0,0
148,"TCD","Chad",0,0,0,0,0,0.0032645,0.004352667
152,"CHL","Chile",0.027166907,0.025056332,0.022350586,0.016176118,0.012317791,0.020063546,0.011471899
156,"CHN","China",0.294245809,0.385413477,0.450149037,0.5040094,0.479777173,0.948932839,0.586809232
170,"COL","Colombia",0.032149138,0.03452786,0.037184203,0.038600161,0.038264381,0.025312129,0.010289002
174,"COM","Comoros",0.001297887,0.001443772,0.001581059,0.001798163,0.001983013,0.002582596,0.001400228
184,"COK","Cook Islands",8.69e-05,9.03e-05,8.8e-05,9.57e-05,0.000100077,4.49e-05,4.49e-05
188,"CRI","Costa Rica",0.007406151,0.007916529,0.008137612,0.007834412,0.006731981,0.003683979,0.001733852
384,"CIV","Cote d'Ivoire",0.020860679,0.023757135,0.027585053,0.028666345,0.031736254,0.083942526,0.053584128
191,"HRV","Croatia",0.007278965,0.013824368,0.008308197,0.006440384,0.00636753,0.004937011,0.002394228
192,"CUB","Cuba",0.04965618,0.047764699,0.050802558,0.052682046,0.053334456,0.053112161,0.052010656
531,"CUW","Curacao",0.000261218,0.000261002,0.000240779,0.00024822,0.000267393,0.000284942,0.000266178
196,"CYP","Cyprus",0.001018261,0.001133286,0.001245964,0.001354903,0.001465979,0.001998288,0.001095389
203,"CZE","Czech Republic",0,0,0,0,0,0.000211,0.000281333
180,"COD","Dem. Rep. Congo",0.002539508,0.002214126,0.001783924,0.002335055,0.002929537,0.078736662,0.052311248
208,"DNK","Denmark",0.021036709,0.021043488,0.020990083,0.021114279,0.021649877,0.014272219,0.005933432
262,"DJI","Djibouti",0.001985248,0.001888611,0.00199164,0.002244584,0.002515847,0.004388921,0.002522562
212,"DMA","Dominica",0.000318991,0.00031403,0.000289432,0.000294612,0.000263767,0.000151765,8.87197e-05
214,"DOM","Dominican Republic",0.044775762,0.053247335,0.063640447,0.070520447,0.079443464,0.111575226,0.063735126
218,"ECU","Ecuador",0.026095158,0.029365735,0.032287045,0.035310238,0.037959252,0.044187957,0.023232257
818,"EGY","Egypt",0.090028744,0.104546615,0.121696462,0.138042032,0.161000055,0.57919272,0.359315955
222,"SLV","El Salvador",0.028941437,0.031681239,0.033052205,0.033611097,0.033977895,0.0205657,0.008394039
226,"GNQ","Equatorial Guinea",0.000179685,0.000235658,0.000467217,0.00039768,0.000489345,0.000358709,0.000343928
232,"ERI","Eritrea",0.002983545,0.003973215,0.004278395,0.004732744,0.004642305,0.002364753,0.000966071
233,"EST","Estonia",0.003424496,0.003257259,0.002971521,0.002646693,0.002597582,0.004039489,0.002267445
748,"SWZ","Eswatini",0,0,0,0,0,0.001747,0.002329333
231,"ETH","Ethiopia",0,0,0,0,0,0,0
234,"FRO","Faeroe Islands",0.000450438,0.000439183,0.000448994,0.00045754,0.000460102,0.000629317,0.000673926
238,"FLK","Falkland Islands",5.71e-06,6.99e-06,8.25e-06,8.43e-06,8.18e-06,4.52e-06,4.52e-06
242,"FJI","Fiji",0.002839448,0.003085247,0.003271968,0.003371546,0.003502685,0.003851885,0.00215749
246,"FIN","Finland",0.009619982,0.010008718,0.009576351,0.009394931,0.00953404,0.006086693,0.002471752
250,"FRA","France",0.05808066,0.058748344,0.058817654,0.060421539,0.062105172,0.04239275,0.018085698
258,"PYF","French Polynesia",0.000516899,0.000558128,0.00062227,0.000670105,0.000708552,0.000746742,0.000783305
266,"GAB","Gabon",0.001173395,0.001337691,0.001540643,0.00184976,0.002082872,0.005494896,0.003505244
270,"GMB","Gambia",0.002287088,0.002550989,0.003053041,0.003811086,0.00485268,0.005977363,0.003417453
268,"GEO","Georgia",0.007798948,0.005490209,0.005958815,0.006299101,0.006233983,0.003131677,0.001052436
276,"DEU","Germany",0.034206828,0.034658233,0.034279075,0.034225621,0.033545711,0.035867748,0.018422318
288,"GHA","Ghana",0.015090477,0.017750929,0.020896841,0.025524495,0.031714749,0.025901258,0.014553673
300,"GRC","Greece",0.033969737,0.035098725,0.035210619,0.034924171,0.035184683,0.020623769,0.008170185
304,"GRL","Greenland",0.000220237,0.000221509,0.000216622,0.000218347,0.000215258,0.000206015,0.000194862
308,"GRD","Grenada",0.000562739,0.000590994,0.000413399,0.000333409,0.000373786,0.000136524,0.000143173
320,"GTM","Guatemala",0.010656685,0.012253466,0.014005775,0.015854826,0.018035418,0.030337609,0.0207674
831,"GGY","Guernsey",0.000165547,0.00016785,0.00017064,0.000174534,0.000178629,0.000178629,0.000178629
324,"GIN","Guinea",0.00105269,0.001356534,0.001610046,0.001836982,0.002062953,0.002423465,0.002645297
624,"GNB","Guinea-Bissau",0.00277087,0.003261069,0.003203956,0.003682647,0.004184544,0.004640122,0.002541414
328,"GUY","Guyana",0.003994123,0.004602497,0.004762037,0.004763485,0.004914547,0.006984302,0.004437809
332,"HTI","Haiti",0.061124153,0.061249926,0.067479316,0.069206229,0.073581691,0.104170128,0.05989453
336,"VAT","Holy See",0,0,0,0,0,0,0
340,"HND","Honduras",0.015623768,0.018050407,0.020796388,0.024123211,0.027193049,0.023904342,0.012462359
344,"HKG","Hong Kong",0.024571277,0.02625229,0.028329617,0.028655355,0.029283319,0.022944984,0.010485765
348,"HUN","Hungary",0,0,0,0,0,0,0
352,"ISL","Iceland",0.00237632,0.002510237,0.002543085,0.002596068,0.002826407,0.002878032,0.000764584
356,"IND","India",0.443578816,0.522557294,0.626023484,0.763319805,0.920613354,1.96052343,1.210859297
360,"IDN","Indonesia",0.822519817,0.984614832,1.044862845,1.17259544,1.30854514,1.553160117,0.82565972
364,"IRN","Iran",0.028835633,0.032200183,0.03773032,0.043480894,0.048062067,0.102341621,0.060608864
368,"IRQ","Iraq",0.002177159,0.001939385,0.002593292,0.002630383,0.003229243,0.161820676,0.107325198
372,"IRL","Ireland",0.015203954,0.015018326,0.014462205,0.015156499,0.016954,0.010715541,0.004505703
833,"IMN","Isle of Man",0.000207925,0.000212819,0.000219339,0.000230228,0.000242281,0.000253282,0.000236772
376,"ISR","Israel",0.01658473,0.019553199,0.022003519,0.024219189,0.02645231,0.018420295,0.007955552
380,"ITA","Italy",0.097656958,0.096950336,0.095750424,0.097173107,0.100223023,0.111011881,0.057160379
388,"JAM","Jamaica",0.021034912,0.02157027,0.02287462,0.023220824,0.023956721,0.023702891,0.012977684
392,"JPN","Japan",0.122322538,0.123856614,0.125012483,0.125556748,0.125807546,0.197540023,0.111616529
832,"JEY","Jersey",0.000259377,0.000262982,0.000267358,0.000273457,0.000288616,0.000288616,0.000288616
400,"JOR","Jordan",0.000233607,0.000305535,0.00034012,0.000397171,0.000509957,0.008215803,0.005375437
398,"KAZ","Kazakhstan",0,0,0,0,0,0,9.75e-06
404,"KEN","Kenya",0.010061526,0.011445118,0.013102468,0.015348311,0.018231248,0.099958106,0.06362195
296,"KIR","Kiribati",0.000480632,0.000520395,0.000615436,0.000671871,0.000739018,0.001460817,0.00082723
689,"XKX","Kosovo",0,0,0,0,0,0,0
414,"KWT","Kuwait",0.027843521,0.023882439,0.029577522,0.033762636,0.044298846,0.171956776,0.105609651
417,"KGZ","Kyrgyzstan",0,0,0,0,0,0.00091,0.001213333
418,"LAO","Laos",0,0,0,0,0,0.002374,0.003165333
428,"LVA","Latvia",0.004013251,0.005263353,0.004465898,0.001918732,0.001798692,0.003243978,0.001880072
422,"LBN","Lebanon",0.012557099,0.013178041,0.014300793,0.0166695,0.014344487,0.027052772,0.015117298
426,"LSO","Lesotho",0,0,0,0,0,0.0012395,0.000826333
430,"LBR","Liberia",0.003942274,0.002092949,0.005443958,0.004864943,0.006400071,0.008374019,0.00622587
434,"LBY","Libya",0.011512062,0.013067785,0.013912751,0.014994812,0.01582786,0.029991573,0.018044403
438,"LIE","Liechtenstein",0,0,0,0,0,0.000134,0.000178667
440,"LTU","Lithuania",0.002901651,0.004177443,0.003593191,0.002464317,0.002267544,0.001547662,0.000676346
442,"LUX","Luxembourg",0,0,0,0,0,7.3e-05,9.73333e-05
446,"MAC","Macao",0.001310236,0.001505125,0.001649217,0.001946089,0.002188823,0.008407181,0.005387663
450,"MDG","Madagascar",0.013166474,0.01403951,0.0166924,0.018915526,0.02168696,0.02668175,0.014668647
454,"MWI","Malawi",0,0,0,0,0,0,0
458,"MYS","Malaysia",0.1102328,0.109118768,0.110558005,0.101628753,0.082280069,0.08947749,0.078652544
462,"MDV","Maldives",0.000875373,0.001140481,0.001539912,0.001962547,0.002388715,0.002364719,0.001154493
466,"MLI","Mali",0,0,0,0,0,0,0
470,"MLT","Malta",0.001788351,0.001867405,0.001891289,0.0019538,0.001992647,0.002058154,0.000516533
584,"MHL","Marshall Islands",0.000184501,0.000199094,0.000201337,0.00020244,0.000203187,0.000220884,0.000110783
478,"MRT","Mauritania",0.003919156,0.004530745,0.005247313,0.00622494,0.00739422,0.004665777,0.001905784
480,"MUS","Mauritius",0.006901243,0.007120446,0.006833788,0.006467019,0.005191244,0.003658545,0.000938839
484,"MEX","Mexico",0.079452946,0.088966105,0.07283451,0.066270422,0.067179453,0.162973677,0.099281885
583,"FSM","Micronesia",0.000605905,0.000711964,0.000702744,0.000697604,0.000673874,0.009053455,0.005936909
498,"MDA","Moldova",0,0,0,0,0,0,0
492,"MCO","Monaco",6.33e-05,6.6e-05,6.91e-05,7.29e-05,8.07e-05,6.11e-05,2.58e-05
496,"MNG","Mongolia",0,0,0,0,0,0.092081,0.122774667
499,"MNE","Montenegro",0.006329969,0.005602224,0.005859893,0.006196026,0.006428979,0.006228608,0.003096778
504,"MAR","Morocco",0.048028159,0.051371698,0.057544979,0.065316132,0.073297975,0.096322498,0.052316664
508,"MOZ","Mozambique",0.00460106,0.005406741,0.007175745,0.009958966,0.012996801,0.022049713,0.013749196
104,"MMR","Myanmar",0.024043117,0.028847987,0.037040497,0.052610829,0.063791905,0.216949974,0.136658949
516,"NAM","Namibia",0.000393569,0.000464687,0.000538975,0.000589981,0.000638111,0.002925656,0.001839033
520,"NRU","Nauru",8.46e-05,9.6e-05,0.00013238,0.000135237,0.000135455,0.000163212,0.000157149
524,"NPL","Nepal",0,0,0,0,0,0,0
528,"NLD","Netherlands",0.023896159,0.024461815,0.024648335,0.025108884,0.025363871,0.016845529,0.0071573
540,"NCL","New Caledonia",0.000436177,0.000493058,0.000549939,0.000601429,0.000654172,0.000860527,0.000930955
554,"NZL","New Zealand",0.012187026,0.013354677,0.013912995,0.014731663,0.015490328,0.00952494,0.003809201
558,"NIC","Nicaragua",0.016169087,0.017422228,0.020086885,0.021952746,0.023966677,0.029615197,0.016526114
562,"NER","Niger",0,0,0,0,0,0.011673,0.015564
566,"NGA","Nigeria",0.086993118,0.095835618,0.110154445,0.141619717,0.176572922,0.227475411,0.1320925
570,"NIU","Niue",1.23e-05,1.14e-05,1e-05,8.9e-06,8.55e-06,4.66e-06,4.66e-06
408,"PRK","North Korea",0.056958482,0.049813668,0.048022239,0.050646852,0.051940134,0.055890359,0.013651627
807,"MKD","North Macedonia",0,0,0,0,0,0.0022205,0.002960667
578,"NOR","Norway",0.007911852,0.007861775,0.007820858,0.007899185,0.008335747,0.004516706,0.001614906
512,"OMN","Oman",0.021249289,0.026357439,0.027506515,0.030869996,0.038447723,0.113387546,0.067090744
586,"PAK","Pakistan",0.029714052,0.035042926,0.03945005,0.045972843,0.053110777,0.280632802,0.178483266
585,"PLW","Palau",8.22e-05,9.47e-05,0.000105477,0.000109331,0.000112244,0.000592675,0.000378058
591,"PAN","Panama",0.01568314,0.017554174,0.019293465,0.020764084,0.019511884,0.027459262,0.017917598
598,"PNG","Papua New Guinea",0.004935269,0.006095808,0.00671609,0.007587535,0.009115529,0.009793925,0.006495156
600,"PRY","Paraguay",0,0,0,0,0,0,0
604,"PER","Peru",0.05233557,0.06117469,0.066757199,0.073457802,0.080393513,0.136668807,0.07602826
608,"PHL","Philippines",0.107730272,0.12140098,0.141764022,0.162686848,0.187164496,0.350038625,0.381282679
616,"POL","Poland",0.012581152,0.012241304,0.009960459,0.008712494,0.008566665,0.007898924,0.003859527
620,"PRT","Portugal",0.033299769,0.03325532,0.033587388,0.034220439,0.034414504,0.018966227,0.00712901
634,"QAT","Qatar",0.000248966,0.000268168,0.000310574,0.000453675,0.00093654,0.001499067,0.000801754
178,"COG","Republic of Congo",0.001964995,0.002169995,0.002522546,0.002947269,0.003618024,0.016567301,0.010797862
642,"ROU","Romania",0.004878742,0.00493544,0.00492054,0.003937944,0.003151644,0.025363303,0.016596253
643,"RUS","Russia",0.150312082,0.146769362,0.147022295,0.146082234,0.147411154,0.152118104,0.038949682
646,"RWA","Rwanda",0,0,0,0,0,0.012412,0.016549333
652,"BLM","Saint Barthelemy",0,0,0,0,0,0,0
659,"KNA","Saint Kitts and Nevis",0.000454329,0.000373695,0.000271557,0.00017563,0.000227692,0.000724397,0.000439543
662,"LCA","Saint Lucia",0.001395652,0.001393513,0.001317455,0.001210166,0.001137985,0.000511727,0.000448563
670,"VCT","Saint Vincent and the Grenadines",0.000441688,0.000442237,0.000426866,0.00040248,0.000340043,0.000447956,0.000274885
882,"WSM","Samoa",0.000309763,0.000326528,0.000341656,0.000358359,0.00037084,0.000385384,9.62772e-05
674,"SMR","San Marino",0,0,0,0,0,0,0
678,"STP","Sao Tome and Principe",0.000265103,0.000290805,0.000318002,0.000406671,0.000498545,0.000979653,0.000624856
682,"SAU","Saudi Arabia",0.006614739,0.007606558,0.008413312,0.009608595,0.010976792,0.010421435,0.005084036
686,"SEN","Senegal",0.017868659,0.020568626,0.024147717,0.028711657,0.033518261,0.056811317,0.03235823
688,"SRB","Serbia",0,0,0,0,0,0,0
690,"SYC","Seychelles",0.000367624,0.000396825,0.000421626,0.000428476,0.00045841,0.000372807,0.000166659
694,"SLE","Sierra Leone",0.005563499,0.004752184,0.003884034,0.006106095,0.007577352,0.009655481,0.007024819
702,"SGP","Singapore",0.017976554,0.019746208,0.02186665,0.022457239,0.025846624,0.018944349,0.008159694
534,"SXM","Sint Maarten",9.34e-05,9.23e-05,8.92e-05,0.000111097,0.000105658,0.000117404,2.69752e-05
703,"SVK","Slovakia",0,0,0,0,0,0.0012895,0.000859667
705,"SVN","Slovenia",0.001392407,0.001387399,0.001364475,0.001347856,0.00136906,0.001440147,0.000740237
90,"SLB","Solomon Islands",0.006298095,0.007731693,0.008162357,0.00915737,0.010963032,0.015573177,0.008541149
706,"SOM","Somalia",0.014526707,0.012836888,0.014555169,0.016949434,0.019984524,0.017036108,0.007231913
710,"ZAF","South Africa",0.043645249,0.049600977,0.05320042,0.054140946,0.055462492,0.127885257,0.076848882
410,"KOR","South Korea",0.11862957,0.105847333,0.107843411,0.107683196,0.108230571,0.074560372,0.031405846
728,"SSD","South Sudan",0,0,0,0,0,0,0
724,"ESP","Spain",0.064738771,0.065871037,0.066286166,0.070743452,0.075613433,0.044901357,0.017852819
144,"LKA","Sri Lanka",0.016919718,0.020104723,0.023093409,0.025758401,0.029879514,0.042067256,0.027658008
275,"PSE","State of Palestine",0.02370934,0.032623191,0.039998285,0.039764444,0.044908848,0.030614348,0.013265458
729,"SDN","Sudan",0.000831078,0.001038548,0.001292325,0.001539487,0.001845737,0.033794856,0.022308333
740,"SUR","Suriname",0.001256832,0.001311156,0.001386063,0.001577827,0.001712666,0.003311997,0.00275081
752,"SWE","Sweden",0.01317199,0.013582188,0.013179087,0.013047063,0.013440734,0.007801516,0.003011024
756,"CHE","Switzerland",0,0,0,0,0,0.002909,0.003878667
760,"SYR","Syria",0.010321394,0.013219653,0.015066462,0.017312752,0.020612234,0.022908474,0.012816735
158,"TWN","Taiwan",0.066507758,0.054331075,0.05449707,0.055049812,0.055510533,0.055906341,0.013590365
762,"TJK","Tajikistan",0,0,0,0,0,0,0
834,"TZA","Tanzania",0.011557796,0.013163693,0.015771509,0.020663272,0.027171382,0.059196801,0.037669194
764,"THA","Thailand",0.216042035,0.252839053,0.265124558,0.287905755,0.300987716,0.675882901,0.410356561
626,"TLS","Timor-Leste",0.000449427,0.000606702,0.00053047,0.000618066,0.000726488,0.001902948,0.001517507
768,"TGO","Togo",0.006352774,0.006686183,0.007669287,0.008446371,0.009709394,0.020315332,0.012248821
776,"TON","Tonga",0.000516207,0.000532555,0.000547964,0.000567851,0.000585346,0.000601618,0.000153153
780,"TTO","Trinidad and Tobago",0.027399233,0.028579494,0.031093351,0.034647811,0.036869338,0.050612099,0.029184415
788,"TUN","Tunisia",0.025032943,0.028299372,0.030804043,0.03182695,0.031948627,0.042741496,0.022486747
792,"TUR","Turkey",0.052749304,0.05727588,0.061234209,0.062908574,0.06408616,0.106458647,0.068328765
795,"TKM","Turkmenistan",0,0,0,0,0,0,0
796,"TCA","Turks and Caicos Islands",2.7e-05,3.49e-05,4.19e-05,5.93e-05,6.45e-05,6.78e-05,6.36e-05
798,"TUV","Tuvalu",0.00010885,0.000116173,0.000128129,0.000141802,0.000151741,0.00017388,0.000173523
800,"UGA","Uganda",0,0,0,0,0,0.0483575,0.064476667
804,"UKR","Ukraine",0.049847087,0.05168344,0.04893489,0.048591515,0.047073039,0.092042082,0.053413042
784,"ARE","United Arab Emirates",0.00870463,0.011361562,0.014635182,0.021463919,0.038911578,0.184277095,0.116756228
826,"GBR","United Kingdom",0.074554627,0.075494773,0.076510431,0.078417023,0.08149114,0.06998359,0.033329173
840,"USA","United States of America",0.482811171,0.510225724,0.527548879,0.545613719,0.571775478,0.399818579,0.172608559
858,"URY","Uruguay",0.010786972,0.010392809,0.010025204,0.009809668,0.005888221,0.005656605,0.002161956
860,"UZB","Uzbekistan",0,0,0,0,0,0.0028545,0.003806
548,"VUT","Vanuatu",0.000578732,0.000684975,0.000763392,0.000845381,0.001008819,0.001149914,0.001279311
862,"VEN","Venezuela",0.063277993,0.068421087,0.077522329,0.083437192,0.08680955,0.192201545,0.114612528
704,"VNM","Viet Nam",0.06833513,0.08615562,0.104226217,0.124118697,0.142534219,0.223267529,0.138610773
876,"WLF","Wallis and Futuna Islands",0,0,0,0,0,0,0
732,"ESH","Western Sahara",0,0,0,0,0,0,2.85e-05
887,"YEM","Yemen",0.011645817,0.015332692,0.019064205,0.022452167,0.026469389,0.042086939,0.023904853
894,"ZMB","Zambia",0,0,0,0,0,0.0215215,0.028695333
716,"ZWE","Zimbabwe",0,0,0,0,0,0.0261945,0.017463
