"code","iso","country","TC5.raw.2006","TC5.raw.2007","TC5.raw.2008","TC5.raw.2009","TC5.raw.2010","TC5.raw.2011","TC5.raw.2012","TC5.raw.2013","TC5.raw.2014","TC5.raw.2015","TC5.raw.2016","TC5.raw.2017","TC5.raw.2018","TC5.raw.2019","TC5.raw.2020"
4,"AFG","Afghanistan",1019,1093,956,824,674,635,421,315,247,159,45,5,31,46,85
8,"ALB","Albania",6476,10880,15797,13878,13837,14090,14371,11555,11334,10990,10812,7203,6711,6765,7684
12,"DZA","Algeria",21379,23601,27809,33951,32067,35015,41154,40726,40592,44186,44383,81538,80161,76630,84559
20,"AND","Andorra",33,34,39,19,18,12,18,16,14,15,15,11,23,30,56
24,"AGO","Angola",396656,497906,561579,678136,745036,870416,906681,987569,1035638,1049113,1105917,1239320,1324831,1288803,1400956
660,"AIA","Anguilla",15,24,34,27,23,23,16,7,5,5,4,3,1,1,1
28,"ATG","Antigua and Barbuda",183,202,231,267,225,190,186,162,125,115,104,145,288,287,293
32,"ARG","Argentina",1498215,1821230,2164332,2035334,2078594,2262405,2315149,2098999,2032375,1799698,1530441,1286580,1079905,982402,1001565
51,"ARM","Armenia",891,773,489,609,668,712,857,786,621,460,316,166,129,91,108
533,"ABW","Aruba",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"AUS","Australia",1394065,1455482,1248567,1339571,1477316,1380438,1123928,1150273,1231502,1151394,1492224,1615788,1642353,3091680,5331440
40,"AUT","Austria",74291,95080,107504,108793,103847,109351,88823,69586,63593,54820,53972,61260,79950,103761,121795
31,"AZE","Azerbaijan",3592,2940,2369,2151,2459,2078,2173,1854,1816,1283,1158,631,549,223,220
44,"BHS","Bahamas",4066,3974,5652,5888,4836,4432,4194,3860,4047,4789,7385,11005,10330,11005,12749
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",20688,20704,23050,24404,25803,23119,24558,26443,33663,42424,60929,85651,100010,110573,119879
52,"BRB","Barbados",37,58,69,75,83,97,182,173,161,145,142,40,58,110,131
112,"BLR","Belarus",174741,181997,185767,182699,182255,185363,192329,184630,182848,181197,227143,266792,326615,368308,403436
56,"BEL","Belgium",19015,22657,27989,28373,36264,34357,34005,30110,29180,21688,21211,19750,21099,22472,24484
84,"BLZ","Belize",37055,35833,37205,43157,44813,66936,66196,74366,80605,83137,77291,82201,77015,79007,93250
204,"BEN","Benin",21438,25146,19056,30078,26878,24922,21310,25470,19953,21894,27044,29142,32770,29894,35101
60,"BMU","Bermuda",2,1,1,0,1,1,2,4,5,4,4,3,1,0,0
64,"BTN","Bhutan",3210,3498,3726,3888,7537,8021,8290,8020,8101,4459,5380,6639,7436,7022,7597
68,"BOL","Bolivia",1016638,1027323,1233999,1255591,1456631,1570850,1654947,1464836,1497381,1211857,1354366,1545379,1667933,2265929,2530105
70,"BIH","Bosnia and Herzegovina",6325,8397,9671,6813,7152,7589,7344,8421,8919,8605,10012,8893,8995,8434,9706
72,"BWA","Botswana",452,479,499,472,399,368,319,323,266,203,152,116,63,16,24
76,"BRA","Brazil",17122548,16234841,15425646,13377583,12585520,11628673,11951917,11478409,12411613,11977322,15503756,17134595,18150777,18138050,19215877
92,"VGB","British Virgin Islands",15,18,23,25,25,37,32,28,24,20,8,237,240,240,240
96,"BRN","Brunei Darussalam",5382,5860,6361,7334,7023,8630,8902,8494,8568,9384,9366,8480,8404,7349,6746
100,"BGR","Bulgaria",29837,34772,36028,33952,30947,29092,29534,26811,27454,31235,35383,33270,39456,36883,34417
854,"BFA","Burkina Faso",256,258,313,317,398,503,475,441,416,237,135,178,207,216,261
108,"BDI","Burundi",5083,6179,7201,7584,8547,9217,7988,7436,9014,8740,9786,11240,13374,13874,14627
132,"CPV","Cabo Verde",48,25,15,24,20,30,39,49,43,41,24,14,15,11,14
116,"KHM","Cambodia",340511,362648,389002,431246,606212,719551,842401,957425,1005942,906486,901550,825098,747551,731359,744110
120,"CMR","Cameroon",144012,163909,177117,190740,226322,216743,220048,269751,420471,440397,530614,669608,705865,643732,769896
124,"CAN","Canada",12186866,11980911,12343838,11173364,10355101,10099421,10548832,11469255,12623720,13258049,13171589,13192050,12450360,11909746,10331566
136,"CYM","Cayman Islands",87,99,126,110,140,163,154,139,116,76,109,177,203,206,215
140,"CAF","Central African Republic",156637,159927,179996,214600,234304,223063,243139,258633,273018,254344,257587,268658,266320,258985,288326
148,"TCD","Chad",24431,20513,32453,34680,33756,24989,30512,29158,37200,46022,54742,67550,76792,82510,83483
152,"CHL","Chile",445958,489560,529785,532597,517130,524642,578148,558454,590903,607049,623584,669108,644458,604364,569235
156,"CHN","China",1989928,2397046,2875116,2973630,3220276,3243769,3201749,2923272,2876870,2760972,2920973,3000018,3152394,3133311,3075764
170,"COL","Colombia",940451,1027689,1137226,1121296,1129552,1129239,1088041,995379,960479,904925,1008072,1207948,1423316,1490435,1675384
174,"COM","Comoros",210,248,256,328,333,446,508,2358,3769,4114,4116,4294,2629,1394,1225
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",58275,56418,70128,82846,79352,79795,78714,64576,53134,43266,46637,58466,63101,63636,68666
384,"CIV","Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,"HRV","Croatia",15957,16875,19049,15182,15942,16658,18446,17573,19250,18523,21092,22171,27592,29055,32403
192,"CUB","Cuba",69393,62175,72766,66897,62638,66752,69252,58237,47916,46198,104169,171267,180399,182064,187986
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",247,1007,1080,1049,1080,1141,415,352,381,346,901,1406,1410,1392,1418
203,"CZE","Czech Republic",58381,72951,85910,85966,75836,89091,81773,72590,73091,65718,66749,79345,110968,170488,263002
180,"COD","Dem. Rep. Congo",2156780,2107551,2237399,2477613,2811569,2788145,2957255,3484135,4199527,4314303,5276724,6121846,6571277,6440124,6822805
208,"DNK","Denmark",19496,22677,27162,31401,26775,24689,24764,20729,19445,17628,19214,19184,20382,24345,24992
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"DMA","Dominica",195,223,289,284,324,344,449,378,316,226,188,23337,24094,24141,24205
214,"DOM","Dominican Republic",79648,85309,96256,90799,79766,79305,81181,72628,72580,73793,86021,95584,96773,98153,104673
218,"ECU","Ecuador",157365,188240,226347,246763,240089,248077,261793,258816,232299,228747,229405,226394,216253,220760,239565
818,"EGY","Egypt",422,461,485,416,472,547,997,1059,1178,1105,1051,607,551,392,370
222,"SLV","El Salvador",25928,24223,21538,21256,18223,16839,16397,15174,13269,12835,15400,17692,18319,18212,18000
226,"GNQ","Equatorial Guinea",8261,8448,11329,16612,21622,28095,29888,32361,45939,46806,48636,55631,56162,46426,43826
232,"ERI","Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",82248,76517,89186,89902,96577,102030,103529,102360,107167,111135,120380,141673,164701,187120,198613
748,"SWZ","Eswatini",30341,33019,31920,37242,39600,32389,29479,28146,22835,19447,22014,25597,24379,23597,23210
231,"ETH","Ethiopia",75359,88475,100527,117380,122246,125962,142752,151667,158620,148481,155951,151394,136879,126798,135356
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,"FJI","Fiji",7903,9349,10165,9875,10557,9235,8323,8681,10668,10185,18138,20083,18729,16434,16677
246,"FIN","Finland",791990,801465,912014,941799,878893,855917,864371,813089,823733,829217,911009,1088435,1210416,1314168,1396708
250,"FRA","France",239356,254728,315346,306073,402904,411818,429989,373695,351529,246037,244363,248220,287975,325618,366532
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",78655,81444,82295,90514,83486,82161,83148,110923,141983,156839,170654,191810,173200,152513,149034
270,"GMB","Gambia",329,343,877,781,843,912,895,475,655,715,701,752,754,735,737
268,"GEO","Georgia",3892,4349,4804,3281,3555,3562,3045,2557,2224,1441,1434,1171,1215,1264,1446
276,"DEU","Germany",149347,227286,282584,266363,302312,293909,226687,180578,173138,110385,103152,110331,147188,234470,408808
288,"GHA","Ghana",199560,162879,177338,200376,178780,189125,184471,231489,319417,360131,452459,546412,625039,594447,681762
300,"GRC","Greece",26635,68701,87623,87346,91018,89939,57034,42923,40664,37112,37797,34269,35278,39707,41506
304,"GRL","Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"GRD","Grenada",847,849,842,305,418,426,398,360,351,198,218,206,290,226,238
320,"GTM","Guatemala",364960,436043,414835,445300,403998,391961,349400,327422,302562,297307,435899,432006,448538,477297,521927
831,"GGY","Guernsey",0,0,0,1,1,2,3,3,2,2,1,0,0,0,0
324,"GIN","Guinea",100367,107556,123104,130081,131825,148373,139510,295914,433694,617215,850926,1119629,1179521,1268377,1295956
624,"GNB","Guinea-Bissau",19008,19644,22252,27269,28397,31068,28634,55520,62342,73788,90607,108042,96742,102390,107827
328,"GUY","Guyana",28096,28515,30556,34763,39035,41468,49338,47009,50938,53933,72112,78445,83086,93241,95928
332,"HTI","Haiti",8916,8883,10027,10101,10152,11570,13793,14866,16356,17437,32311,33580,34509,35022,35746
336,"VAT","Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"HND","Honduras",174572,185496,195257,220348,225937,236821,226692,227068,233370,237875,375376,457512,490428,514739,558205
344,"HKG","Hong Kong",72,86,106,138,142,137,121,100,78,90,123,208,383,383,445
348,"HUN","Hungary",43907,45566,48762,46826,47678,47911,50530,50674,56013,55609,61633,63964,68930,68143,69484
352,"ISL","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,"IND","India",309545,330954,369852,375149,363680,385968,408598,406037,470488,538914,630119,729160,783469,765339,788963
360,"IDN","Indonesia",5313452,5846479,6699095,7355010,7451190,7561268,8436163,8183745,8144762,8623224,9517317,8567621,8653433,7935718,7148104
364,"IRN","Iran",1506,1075,1121,1030,1056,1151,1430,1135,1026,823,584,289,275,337,359
368,"IRQ","Iraq",47,47,44,56,65,62,61,46,32,18,15,6,3,1,1
372,"IRL","Ireland",27896,34345,39023,39369,35122,32984,27062,24965,23515,24191,30660,31097,34796,39669,41480
833,"IMN","Isle of Man",63,80,78,116,155,140,140,157,154,115,121,108,103,79,75
376,"ISR","Israel",500,437,472,498,454,1417,1419,1419,1496,1463,447,528,513,404,399
380,"ITA","Italy",52168,52877,64523,62040,66913,69400,79458,80335,85929,84762,98943,113133,136604,176457,190504
388,"JAM","Jamaica",17030,16649,17648,17287,12050,11632,12971,12279,11595,12150,11766,11380,12300,11751,11021
392,"JPN","Japan",158860,178311,199427,202987,202332,199291,199387,181812,169156,164610,183842,185893,213246,236491,253456
832,"JEY","Jersey",2,1,3,3,10,13,20,19,18,11,8,3,2,2,2
400,"JOR","Jordan",3,3,3,1,1,0,0,0,1,2,2,3,3,3,2
398,"KAZ","Kazakhstan",18511,20166,21420,22314,22263,24142,23322,21806,15916,12931,9204,6415,4489,5215,7043
404,"KEN","Kenya",91765,98202,104301,105608,114894,111562,103357,98142,96128,89184,92196,97776,99794,100082,104804
296,"KIR","Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,"XKX","Kosovo",1889,2488,3372,3580,3735,4017,4975,4617,4603,4610,4729,3596,3408,3344,3851
414,"KWT","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,"KGZ","Kyrgyzstan",837,636,632,640,822,816,797,713,519,251,150,114,103,104,116
418,"LAO","Laos",401751,478738,472164,553924,653280,661702,677327,804520,904827,1024745,1284537,1488413,1578247,1700810,1774423
428,"LVA","Latvia",160815,167771,175766,180042,187828,193665,191836,190356,187750,170162,170570,183574,202847,228189,247992
422,"LBN","Lebanon",749,944,1263,1500,1310,1301,1199,977,804,874,1030,1188,1300,1551,1892
426,"LSO","Lesotho",26,27,31,29,30,31,31,33,48,44,65,69,69,61,80
430,"LBR","Liberia",132656,119993,134591,203599,212646,210824,238699,358613,448340,614538,749221,881033,930744,938168,972436
434,"LBY","Libya",120,85,64,58,45,39,39,148,157,148,139,149,38,26,26
438,"LIE","Liechtenstein",28,36,45,40,37,27,23,16,14,12,15,15,20,29,31
440,"LTU","Lithuania",70229,75923,82216,83518,84801,89092,90668,89422,91054,85254,89231,97597,103468,112140,119378
442,"LUX","Luxembourg",942,1353,2235,2140,2953,3035,2978,2341,2555,2002,2076,2047,2158,2239,2569
446,"MAC","Macao",4,8,12,14,15,13,9,5,4,4,3,6,7,9,9
450,"MDG","Madagascar",456185,558835,594109,650540,665123,749641,684507,861100,1146777,1342886,1572352,1969165,2040399,1875420,1814838
454,"MWI","Malawi",40894,45386,49043,46768,39070,42762,47159,47633,64780,72909,78903,84286,90805,83290,90445
458,"MYS","Malaysia",1559755,1651799,1835730,2106455,2161422,2290592,2514083,2480081,2505278,2530620,2635445,2492291,2598453,2348028,2162709
462,"MDV","Maldives",17,18,23,26,25,32,28,25,23,20,9,7,3,0,0
466,"MLI","Mali",2876,3121,3528,3109,2901,3047,2865,4536,5039,5693,5820,7140,6457,6481,6421
470,"MLT","Malta",6,5,6,5,6,6,5,4,2,1,0,0,0,0,0
584,"MHL","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
480,"MUS","Mauritius",955,935,1004,917,762,1156,1188,1400,1826,1802,1261,1092,684,0,0
484,"MEX","Mexico",878733,939335,971694,1084282,1042873,1049986,1005755,1042237,932043,964852,1055873,1184892,1236582,1396090,1499366
583,"FSM","Micronesia",0,0,0,0,77,77,77,77,77,0,0,0,0,0,0
498,"MDA","Moldova",892,899,935,858,924,938,2526,2568,2747,3066,3725,3009,3701,4160,5097
492,"MCO","Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,"MNG","Mongolia",136916,166241,183891,211677,213008,202908,193498,136387,53552,51738,52427,40498,49294,52181,45386
499,"MNE","Montenegro",1666,2559,3797,3444,3486,3814,4038,5073,5974,5946,6585,6692,5931,5115,5927
504,"MAR","Morocco",11406,9962,11341,11090,10519,11714,10949,8435,9081,9177,8042,8925,10223,9743,12494
508,"MOZ","Mozambique",710207,748856,891668,1013864,1059534,1033155,1030227,980234,956413,941121,1054434,1310281,1325328,1371124,1433999
104,"MMR","Myanmar",470228,551425,593941,708826,787399,795486,876376,1010497,1133007,1262627,1497609,1620309,1652013,1629430,1646875
516,"NAM","Namibia",1141,1192,852,976,867,993,830,723,427,338,156,72,95,93,93
520,"NRU","Nauru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,"NPL","Nepal",13128,14492,15199,18251,17861,17408,19008,16866,12507,10726,8941,6310,7191,8151,9919
528,"NLD","Netherlands",5414,6236,7082,7347,9291,8959,8257,7622,6945,4426,4697,5114,5901,7547,8599
540,"NCL","New Caledonia",6747,7090,6716,6182,5259,3824,3694,5636,6790,6730,7372,7695,8370,7048,10717
554,"NZL","New Zealand",283079,282500,299073,298000,301593,299867,306793,323287,343508,351615,372415,378152,380011,372031,369259
558,"NIC","Nicaragua",257474,291886,298718,360872,478737,483127,428187,418407,411078,233243,333155,511331,538685,540796,616662
562,"NER","Niger",6,4,2,1,0,0,1,1,1,1,1,0,0,0,0
566,"NGA","Nigeria",132130,132453,150179,170347,190019,233320,251388,279854,347346,372331,397461,598922,708554,732477,809931
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",54196,62304,73947,75692,78101,70811,74240,60261,58187,50163,56328,48067,50758,68030,72075
807,"MKD","North Macedonia",7353,10369,13455,15562,16481,16601,15715,12969,10530,9101,8473,6684,7091,7108,8239
578,"NOR","Norway",140943,146156,165175,154692,169883,161973,160102,159453,175406,172009,199554,227723,254025,279739,311647
512,"OMN","Oman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,"PAK","Pakistan",4454,5260,5671,5428,5203,4318,3433,2440,1553,829,361,313,326,373,451
585,"PLW","Palau",202,218,265,265,254,250,187,143,208,175,144,116,99,13,30
591,"PAN","Panama",94342,95787,124569,144806,147848,136547,132950,106956,83967,79144,73384,87420,101533,121746,138695
598,"PNG","Papua New Guinea",240319,234898,274169,265018,294775,291434,315632,301466,358195,470830,596206,640827,702077,691535,588757
600,"PRY","Paraguay",1139746,1369402,1476181,1580736,1757853,2067342,2150847,2093778,2087650,1926687,1793016,1646969,1588068,1556238,1521959
604,"PER","Peru",508070,543335,596080,672706,651962,688334,848253,931338,959230,983639,1089857,1118408,1120823,1146579,1259011
608,"PHL","Philippines",223770,258001,261522,273913,326916,302687,295894,316799,360113,324520,423354,480422,492946,453948,451741
616,"POL","Poland",226567,252813,267456,272499,261938,280945,278633,265890,275654,246789,277229,319155,381382,401833,434299
620,"PRT","Portugal",201396,202744,209549,193680,203087,187099,210529,232130,256445,257355,332535,462428,511981,488188,505738
634,"QAT","Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"COG","Republic of Congo",99320,104818,103954,109636,136458,143259,146427,186156,241799,245131,331423,363342,368908,367881,383992
642,"ROU","Romania",77217,98976,107088,104402,102762,106643,99273,94771,98174,91334,97508,86034,92020,84741,101318
643,"RUS","Russia",13638942,13164704,13126552,11641016,11920239,12710739,15954144,18014069,20570777,21073991,23249845,23095282,23774958,22950500,26438755
646,"RWA","Rwanda",5335,5872,5912,6170,8011,8141,7804,9758,11827,11781,14196,16645,18816,18380,19541
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",119,111,101,109,109,100,99,81,51,33,29,22,22,28,37
662,"LCA","Saint Lucia",223,261,297,312,358,322,340,320,307,214,260,277,275,255,289
670,"VCT","Saint Vincent and the Grenadines",66,81,113,122,171,191,193,165,146,82,68,74,77,78,83
882,"WSM","Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674,"SMR","San Marino",1,2,2,1,1,1,0,0,0,0,0,0,0,1,1
678,"STP","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,"SAU","Saudi Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,"SEN","Senegal",1091,1120,1535,1741,2087,2272,2135,3523,4277,4973,5943,7793,7170,7041,8321
688,"SRB","Serbia",8096,9221,11625,11493,12404,12728,13988,13560,15482,15855,18354,18450,19611,19187,21386
690,"SYC","Seychelles",0,0,0,0,0,0,1,3,5,5,5,4,2,1,1
694,"SLE","Sierra Leone",64977,71501,83290,110063,111846,117399,112043,264473,398506,626796,773027,992476,1011072,1025124,945851
702,"SGP","Singapore",319,270,286,428,389,406,424,416,437,555,644,828,1103,1203,1210
534,"SXM","Sint Maarten",10,15,15,17,13,14,8,9,6,6,3,8,5,5,5
703,"SVK","Slovakia",48112,53586,63308,69923,59348,62869,62559,54180,60342,48531,53953,59014,71642,64587,71258
705,"SVN","Slovenia",5733,7118,8452,9134,8613,8803,7609,6391,9834,9427,13395,17387,24993,23062,25936
90,"SLB","Solomon Islands",21407,23206,29002,31493,31362,32155,35299,36607,47530,56097,68250,79213,87567,87168,86789
706,"SOM","Somalia",1420,1453,1620,1690,1419,1496,1464,1693,1566,1489,1405,1546,1057,1394,1624
710,"ZAF","South Africa",437640,438546,427092,421522,377412,341614,381586,362477,373483,390764,403406,423808,433337,440877,430795
410,"KOR","South Korea",39921,43420,54125,59234,64721,66134,74013,69331,66320,69418,80757,85942,98693,106174,109121
728,"SSD","South Sudan",49715,51528,59977,57595,50164,49639,47513,43112,40917,38420,32062,30052,26222,21914,21740
724,"ESP","Spain",254433,277138,298295,298131,304799,270986,294288,316998,326689,339031,412771,434138,492075,489302,527817
144,"LKA","Sri Lanka",24882,31806,35187,43617,46171,53248,57617,59317,57964,58222,61323,59999,65320,63093,67116
275,"PSE","State of Palestine",8,7,8,7,8,7,6,4,6,5,5,7,8,5,6
729,"SDN","Sudan",447,539,600,740,715,1040,788,718,573,452,155,245,256,327,425
740,"SUR","Suriname",20616,20525,23491,25430,28919,31212,47097,49796,57214,62147,73361,71892,80700,84391,87568
752,"SWE","Sweden",1040811,1045362,1246594,1183194,1198202,1154329,1206430,1110625,1145500,1098401,1204454,1301933,1395052,1485851,1610459
756,"CHE","Switzerland",9531,10504,12494,10935,10351,10239,9906,8284,7517,6553,6296,7327,9670,11686,14843
760,"SYR","Syria",1477,2917,3643,3668,3105,2983,7109,7680,8609,10986,12778,9443,9032,9267,10000
158,"TWN","Taiwan",7633,8359,9546,15846,16783,16161,15891,14544,7452,5945,7874,9061,10038,10420,10965
762,"TJK","Tajikistan",140,117,119,134,117,118,130,98,63,51,30,3,1,0,1
834,"TZA","Tanzania",489153,538574,626166,729192,778068,832734,875152,906238,964671,939033,965091,1021407,1008286,941111,1035393
764,"THA","Thailand",403486,435500,456929,498115,549894,544509,568923,576750,585265,573228,654834,739382,789152,781585,781687
626,"TLS","Timor-Leste",8627,8576,8718,9291,8628,7166,7524,7193,6587,6880,6805,6716,7536,7082,7696
768,"TGO","Togo",17493,19290,17767,23496,20524,19425,17343,20476,14969,15756,19027,25604,29819,31853,38068
776,"TON","Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,"TTO","Trinidad and Tobago",5186,5570,6114,6758,8935,7550,7153,6643,6846,4107,5090,5117,5305,4384,4578
788,"TUN","Tunisia",3130,3769,2940,3607,3370,5236,5799,6443,8026,9624,8947,16480,16060,14097,13214
792,"TUR","Turkey",120177,119928,131313,130421,127071,125108,128900,125550,122769,137408,143600,154120,169890,189609,210756
795,"TKM","Turkmenistan",277,202,191,175,153,157,125,50,39,30,12,3,2,0,0
796,"TCA","Turks and Caicos Islands",56,130,185,283,298,308,237,183,106,89,94,120,144,129,142
798,"TUV","Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,"UGA","Uganda",104074,130455,156349,162031,166613,204203,196989,210802,246636,268629,272565,368277,409491,418105,441745
804,"UKR","Ukraine",194721,231909,245998,244815,260683,278938,270428,255392,254536,251421,299419,330463,367701,365780,397247
784,"ARE","United Arab Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,"GBR","United Kingdom",77348,88510,99198,112195,131825,133246,137674,154028,146710,142350,148737,136227,133800,131783,130663
840,"USA","United States of America",11891354,12279826,12840330,11676867,11130361,10170799,9693514,9247315,9407648,9574807,10228181,10621353,10992964,11379575,11065850
858,"URY","Uruguay",69779,84482,97516,101674,103558,110562,120631,116549,123358,123436,119673,110621,111340,100237,95511
860,"UZB","Uzbekistan",451,226,216,265,277,255,270,256,242,208,174,117,88,21,25
548,"VUT","Vanuatu",1491,1495,1158,1877,1930,2321,2408,3330,2871,6043,6774,7012,6928,6542,6998
862,"VEN","Venezuela",454332,478353,512299,564376,570253,558764,550444,494530,453938,414759,549204,611148,658642,697276,775166
704,"VNM","Viet Nam",351563,381859,447851,511801,584300,637197,740781,768973,857104,908291,1143324,1258996,1357633,1358747,1349171
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,"YEM","Yemen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,"ZMB","Zambia",275443,287593,327636,436206,554404,571814,652119,677008,696980,623271,749157,848104,942572,960139,1077910
716,"ZWE","Zimbabwe",72158,75545,73973,90630,83327,76225,79951,83310,66642,71372,74098,89252,86616,88934,81840
