code,iso,,country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
4,AFG,Keep,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009634579,-0.007548756,-0.01164776,-0.015884887,-0.023196332,-0.031947567,-0.044031506,-0.045842256,-0.042599743
8,ALB,Keep,Albania,-0.06960899,-0.067758993,-0.051906368,-0.042329192,-0.032367663,-0.023223,-0.019297603,-0.026424329,-0.034415023,-0.04423717,-0.048636472,-0.051098066,-0.050510985,-0.046116142,-0.03559645,-0.021827491,-0.014574131,-0.011995343,-0.008871748,-0.012492729,-0.017080265
12,DZA,Keep,Algeria,0.005369086,-0.004122526,-0.017230518,-0.030644664,-0.038168293,-0.044620887,-0.041090339,-0.035699119,-0.034284225,-0.026556757,-0.021486758,-0.01517935,-0.012944376,-0.009825842,-0.00681477,-0.005713598,-0.00103629,0.002095632,0.003140258,0.005754761,0.007176557
20,AND,Keep,Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,AGO,Keep,Angola,0.052489699,0.031246802,0.002797152,-0.030793364,-0.041778873,-0.046250801,-0.050996878,-0.063472669,-0.078884351,-0.088730571,-0.090776966,-0.085619888,-0.077804967,-0.072372527,-0.059507839,-0.040260885,-0.026372423,-0.017645231,-0.013342255,-0.01493881,-0.01300788
28,ATG,Keep,Antigua and Barbuda,-0.007278262,-0.004803852,-0.000166781,0.007291132,0.011931826,0.010411367,0.009727775,0.002436994,-0.00638226,-0.01269908,-0.008309944,-0.003652352,0.002985495,0.012696585,0.022492275,0.028051604,0.02969125,0.02180537,0.00778478,-0.009057919,-0.015631672
32,ARG,Keep,Argentina,-0.029600047,-0.019322645,-0.009703089,0.003727568,0.010499356,0.013387254,0.015074192,0.012515037,0.001768984,-0.011665925,-0.019471482,-0.030862128,-0.041100344,-0.040649464,-0.037301388,-0.028858477,-0.022930199,-0.014396801,-0.010313208,-0.004562489,0.001598224
51,ARM,Keep,Armenia,-0.011187535,-0.034645444,-0.057364761,-0.04369774,-0.051290529,-0.056804834,-0.053113788,-0.059845295,-0.058293194,-0.053642923,-0.048688748,-0.038756599,-0.02504136,-0.015434226,-0.009806168,-0.006052954,-0.00426173,-0.000987831,-0.004825574,-0.003928643,-0.008296628
533,ABW,Keep,Aruba,0.017587315,0.071044969,0.115846251,0.146699424,0.171923871,0.173723589,0.165650735,0.142660333,0.106824961,0.0581924,0.0056764,0.003169593,0.000282426,-0.031875484,-0.077277923,-0.111861256,-0.134358725,-0.148324065,-0.148456059,NA,NA
36,AUS,Keep,Australia,-0.020916291,-0.019473532,-0.015795182,-0.012151492,-0.01732687,-0.0191077,-0.025083321,-0.025888381,-0.02834991,-0.032477555,-0.031861806,-0.031002009,-0.018711665,-0.008686857,-0.017086093,-0.019820971,-0.026191323,-0.030016921,-0.030189522,-0.033574887,-0.03707575
40,AUT,Keep,Austria,-0.017596888,-0.020928998,-0.019271129,-0.020254595,-0.016462424,-0.014890372,-0.011776583,-0.00748536,-0.007181145,-0.00826695,-0.007971829,-0.004377744,-0.003472941,-0.006352319,-0.004031185,-0.004518327,-0.004060089,-0.004775645,-0.009350026,-0.018452642,-0.021186966
31,AZE,Keep,Azerbaijan,0.01094633,-0.015548606,-0.047366268,-0.069376688,-0.078852319,-0.077809474,-0.081107116,-0.092453388,-0.108757396,-0.114060135,-0.123375809,-0.127547732,-0.122532781,-0.109469257,-0.090150618,-0.062797019,-0.035619208,-0.015789859,-0.007679217,0.004273153,0.007963605
44,BHS,Keep,Bahamas,-0.018508529,-0.022501891,-0.025217361,-0.022500407,-0.01838727,-0.013258581,-0.014374078,-0.017690973,-0.029078628,-0.009639489,-0.011300852,0.004261385,0.002036282,0.001398581,0.023786868,0.032991862,0.026241371,0.008970315,-0.005789704,-0.004655746,-0.018910381
48,BHR,Keep,Bahrain,-0.019442607,-0.014329832,-0.02229869,-0.029595575,-0.035458549,-0.0396134,-0.041211537,-0.042812519,-0.037788716,-0.028011341,-0.01810643,-0.008983109,-0.006788973,-0.004750417,-0.001647551,-0.002427479,-0.002652391,-0.010050706,-0.012381673,-0.017422796,-0.020534721
50,BGD,Keep,Bangladesh,-0.021848138,-0.022166595,-0.021580556,-0.021091127,-0.021987241,-0.022656304,-0.022084034,-0.022004134,-0.023888815,-0.026293575,-0.027056689,-0.027787339,-0.027992152,-0.027971377,-0.028884622,-0.029539101,-0.029653486,-0.030710543,-0.03312079,-0.03464942,-0.035468309
52,BRB,Keep,Barbados,-0.018827288,-0.015340658,-0.001099206,0.007941353,0.023816731,0.020108957,0.016408342,0.006463208,-0.004027671,-4.11E-05,0.007867542,0.00893629,0.013259625,0.013974303,0.014563088,0.008357015,0.000956532,-0.009905445,-0.025658541,-0.02983438,-0.027422926
112,BLR,Keep,Belarus,-0.028633959,-0.040932555,-0.051677645,-0.058702815,-0.064839536,-0.068753593,-0.066845271,-0.061836808,-0.061261365,-0.061864008,-0.060261211,-0.059759016,-0.051465629,-0.042231203,-0.032122213,-0.022316859,-0.013607312,-0.004717399,-0.000786929,0.001180799,0.001500352
56,BEL,Keep,Belgium,-0.008381278,-0.012974685,-0.016380349,-0.021519419,-0.023969226,-0.026076655,-0.028628848,-0.028583943,-0.03140694,-0.029830586,-0.028395148,-0.02354118,-0.022236573,-0.02460909,-0.021254842,-0.020258142,-0.018645437,-0.018631028,-0.021024086,-0.019950377,-0.019519566
84,BLZ,Keep,Belize,-0.035984426,-0.032602173,-0.021299947,-0.017578152,-0.015550132,-0.023164531,-0.026024055,-0.035592585,-0.031673803,-0.030403301,-0.023518583,-0.017810432,-0.00387118,-4.60E-05,0.010754727,0.00362376,0.007188705,0.006322842,0.007672438,0.002191696,0.006800009
204,BEN,Keep,Benin,-0.004560497,-0.006024326,-0.013193434,-0.014388244,-0.01675965,-0.016153754,-0.015739974,-0.010062005,-0.003906215,-0.001893241,0.001902318,0.009069177,0.006954966,0.005728959,0.00214519,-0.005240761,-0.006975933,-0.004618974,-0.001628416,-0.004459563,-0.008294961
64,BTN,Keep,Bhutan,0.006559958,0.00045598,-0.008692367,-0.020938177,-0.039233542,-0.058269956,-0.061682403,-0.063581994,-0.066628986,-0.068138806,-0.061432703,-0.053929714,-0.045683667,-0.037205422,-0.029342556,-0.025587421,-0.017166365,-0.009856821,-0.008975846,-0.012283384,-0.012277202
68,BOL,Keep,Bolivia,0.047429232,0.046030153,0.028299174,0.009161057,-0.005644913,-0.010354678,-0.019653339,-0.019175873,-0.008554882,0.002307396,0.013421481,0.023913594,0.018465357,0.007280141,-0.00467925,-0.008856728,-0.010087529,-0.009445879,-0.011690873,-0.015212146,-0.016651161
70,BIH,Keep,Bosnia and Herzegovina,NA,NA,NA,NA,-0.025902673,0.001184989,0.017909548,0.002134105,-0.003814414,-0.003156851,-0.003813799,0.005698202,0.015272459,0.019364079,0.019398489,0.015872394,0.006158674,0.00296541,-0.005738382,-0.013679944,-0.015363178
72,BWA,Keep,Botswana,-0.034568633,-0.033512728,-0.027752006,-0.024736115,-0.052528772,-0.070040469,-0.075523211,-0.068276866,-0.073393604,-0.046157472,-0.053066368,-0.018297751,0.031501729,0.047238043,0.019148141,-0.013580491,-0.044358728,-0.065920096,-0.082364074,-0.07531171,-0.103597211
76,BRA,Keep,Brazil,-0.003282045,-0.003235048,-0.001496788,0.001149875,0.003687491,0.004234985,0.002754225,-0.001864091,-0.007989667,-0.013357795,-0.018225619,-0.021014052,-0.02299595,-0.02276696,-0.019586574,-0.013321934,-0.005816595,0.001415555,0.006596703,0.007565357,0.006025282
96,BRN,Keep,Brunei Darussalam,-0.023445082,-0.006922169,-5.18E-05,-0.003412547,-0.001152494,-0.001520005,-0.004242183,-0.00448566,0.012128792,0.038684261,0.044136401,0.049544646,0.0582373,0.053832138,0.039273935,0.027473652,0.003914059,-0.014954452,-0.012821969,0.000134524,0.014557446
100,BGR,Keep,Bulgaria,-0.02258306,-0.026362536,-0.032041468,-0.038539773,-0.031038931,-0.035693272,-0.040139648,-0.047794555,-0.044969423,-0.048198493,-0.051747283,-0.052257835,-0.04347413,-0.040568887,-0.038083108,-0.033277083,-0.027054671,-0.026190201,-0.020618541,-0.021613622,-0.029493357
854,BFA,Keep,Burkina Faso,-0.030691772,-0.031556337,-0.037367596,-0.03915539,-0.032941511,-0.023137745,-0.014408663,-0.012114238,-0.008978202,-0.008194505,-0.011026864,-0.011357483,-0.018017719,-0.025898821,-0.026583478,-0.025879894,-0.025079216,-0.025606926,-0.025580306,-0.027333641,-0.027399941
108,BDI,Keep,Burundi,0.037242111,0.034011165,0.0292763,0.017952901,0.008526709,-0.000436394,-0.003452949,-0.001228413,0.003598763,0.004827893,0.00021048,-0.000578135,0.002750448,-0.002327969,-0.00057159,-0.002261976,-0.000650119,0.004866385,0.014780969,0.022203249,0.022529812
132,CPV,Keep,Cabo Verde,-0.066262154,-0.069083246,-0.061784475,-0.045319673,-0.027742861,-0.019703269,-0.004138668,0.003674585,0.003573932,-0.003957808,-0.005763085,-0.007907386,-0.008188414,-0.013971619,-0.01947415,-0.025657282,-0.022557644,-0.016979541,-0.015209241,-0.011547401,-0.00500255
116,KHM,Keep,Cambodia,NA,NA,NA,-0.022715636,-0.049439166,-0.059616435,-0.063289792,-0.065032684,-0.065339701,-0.061751029,-0.050325186,-0.043472333,-0.037871874,-0.034286705,-0.030281828,-0.031606577,-0.03248937,-0.032485128,-0.032305083,-0.034555066,-0.027518647
120,CMR,Keep,Cameroon,0.000111683,-0.006716637,-0.017253699,-0.025361486,-0.025776201,-0.033006215,-0.03563279,-0.037820057,-0.039755151,-0.040243452,-0.038252857,-0.033037415,-0.031308959,-0.032231725,-0.030533848,-0.030799455,-0.024770191,-0.022532843,-0.023380289,-0.023988022,-0.023734378
124,CAN,Keep,Canada,NA,NA,NA,NA,NA,NA,NA,-0.023110769,-0.026213711,-0.028802019,-0.03028275,-0.031628814,-0.032440227,-0.032949679,-0.030208293,-0.026012375,-0.020723085,-0.015520498,-0.011862906,-0.008936337,-0.006279954
140,CAF,Keep,Central African Republic,0.004875976,0.005859011,-0.005754528,-0.020054228,-0.013406137,-0.019033612,-0.024726583,-0.022696293,-0.021501698,-0.012978222,-0.028101439,-0.024485728,-0.028842488,-0.050862188,-0.02242417,-0.006100523,0.010619901,0.026974085,0.034310504,0.043415679,0.023640726
148,TCD,Keep,Chad,0.042527109,0.031270267,0.019647169,0.003508946,-0.005228228,-0.027383721,-0.049137127,-0.059348897,-0.064905238,-0.067975387,-0.062829994,-0.049685499,-0.038561455,-0.025321882,-0.012542465,-0.010182206,-0.010298927,-0.001580906,0.010856623,0.023530316,0.033199281
152,CHL,Keep,Chile,-0.003844524,0.003835693,0.001097983,-0.004736189,-0.012588274,-0.019043254,-0.026413858,-0.031094363,-0.030070944,-0.029263108,-0.023959379,-0.02071848,-0.019469683,-0.017931151,-0.017746846,-0.019563894,-0.020666879,-0.02111027,-0.018534406,-0.01645986,-0.015145097
156,CHN,Keep,China,-0.069474078,-0.06904801,-0.066916354,-0.063649524,-0.056649071,-0.046783648,-0.034026935,-0.022049556,-0.01554638,-0.013966683,-0.015785284,-0.019752208,-0.025002496,-0.03159259,-0.036068123,-0.038448733,-0.040701333,-0.043492189,-0.047866025,-0.051531431,-0.053968379
170,COL,Keep,Colombia,-0.024598802,-0.02333096,-0.021227257,-0.017892778,-0.015011059,-0.014895567,-0.017810822,-0.022415944,-0.026897445,-0.027101208,-0.025908344,-0.023055058,-0.02268248,-0.022327459,-0.019778036,-0.020237153,-0.021759041,-0.020011397,-0.02249873,-0.02224843,-0.016850092
174,COM,Keep,Comoros,0.014524648,0.007545286,0.005858034,6.79093051363377e-05,-0.004664819,-0.004878201,-0.006112864,-0.002035866,-0.00660103,-0.006265038,-0.00250366,-0.002365116,-0.003835514,-0.005187538,-0.003679745,-0.003002875,-0.001038525,0.006153012,0.006434332,0.00697027,0.005567873
188,CRI,Keep,Costa Rica,-0.02963796,-0.035015022,-0.03653113,-0.035450137,-0.034137147,-0.028274653,-0.029040707,-0.029500221,-0.026762003,-0.024067862,-0.022159939,-0.024608354,-0.027626515,-0.030005493,-0.028471411,-0.026754489,-0.028286585,-0.028660428,-0.026006503,-0.020396277,-0.011235472
384,CIV,Keep,Cote d'Ivoire,0.007676406,0.005628453,0.006249837,0.006799722,0.005673779,0.005514834,0.013606717,0.018327592,0.019906512,0.013968658,-0.001058007,-0.010478542,-0.008520104,-0.003476258,-0.005050241,-0.008874658,-0.011260947,-0.009784623,-0.013254827,-0.019915391,-0.032516221
191,HRV,Keep,Croatia,NA,NA,NA,NA,NA,-0.010217876,-0.010326526,-0.013716241,-0.014200181,-0.017207974,-0.018394555,-0.020554979,-0.020987397,-0.023416625,-0.023998105,-0.024113991,-0.023537101,-0.023965507,-0.021479255,-0.023128831,-0.024727951
196,CYP,Keep,Cyprus,-0.012319794,-0.016673584,-0.020799966,-0.024425934,-0.02001305,-0.015160756,-0.02140679,-0.020712365,-0.020839608,-0.018927055,-0.01871904,-0.017705972,-0.018615403,-0.019546949,-0.016043182,-0.011845394,-0.010734041,-0.010040242,-0.010031111,-0.011784171,-0.014312471
203,CZE,Keep,Czech Republic,-0.043490346,-0.041160686,-0.035183936,-0.031754884,-0.026744747,-0.02704829,-0.030723447,-0.03527073,-0.037877881,-0.041697882,-0.044867403,-0.042286864,-0.039558015,-0.036623659,-0.03123948,-0.029346836,-0.02791136,-0.026271861,-0.027416275,-0.032048134,-0.034311392
180,COD,Keep,Dem. Rep. Congo,0.035283186,0.026468915,0.020092028,0.021538035,0.02842136,0.034129268,0.0352296,0.026515454,0.012348263,-0.001607566,-0.018046199,-0.030906692,-0.04198608,-0.041976326,-0.037966841,-0.033977084,-0.032545914,-0.029731392,-0.027896565,-0.028343884,-0.02773775
208,DNK,Keep,Denmark,-0.018525733,-0.032805814,-0.036259077,-0.042621159,-0.040854165,-0.041464619,-0.046227484,-0.03451696,-0.030816589,-0.027730643,-0.026228112,-0.026424991,-0.028707162,-0.032521009,-0.029130437,-0.033151316,-0.04191629,-0.042939378,-0.047694387,-0.050350231,-0.052772004
262,DJI,Keep,Djibouti,NA,0.040048254,0.033384985,0.023537946,0.016352117,0.006669258,-0.000718278,-0.007235038,-0.012030753,-0.016902854,-0.021799717,-0.023555273,-0.028829499,-0.031277327,-0.029639814,-0.033942145,-0.036513372,-0.038911127,-0.039052812,-0.041323032,-0.04561981
212,DMA,Keep,Dominica,0.010171719,0.01310755,0.014250453,0.007741826,0.008349786,0.015886651,0.0235781,0.024747934,0.031196071,0.0125133,0.001744802,-0.002326218,-0.00847312,-0.014558817,-0.017317808,-0.015055025,-0.009999311,-0.0080002,0.001114425,0.002619288,0.001711926
214,DOM,Keep,Dominican Republic,-0.00392574,-0.009962875,-0.011411743,-0.013862664,-0.016212098,-0.024114926,-0.029037165,-0.030956638,-0.03218119,-0.033020144,-0.035377888,-0.037907506,-0.037580807,-0.032704317,-0.026040784,-0.024646395,-0.025772723,-0.027691839,-0.029854877,-0.031814491,-0.0321188
218,ECU,Keep,Ecuador,0.000359564,-0.006900476,-0.013206066,-0.011374766,-0.00354342,-0.012011123,-0.010239885,-0.006904848,-0.007578934,-0.013714074,-0.012709857,-0.013997277,-0.012980443,-0.016065201,-0.016115587,-0.014344212,-0.015338633,-0.017754462,-0.016738071,-0.020146385,-0.018075284
818,EGY,Keep,Egypt,-0.000651444,-0.003020066,-0.007252037,-0.012121648,-0.007494828,-0.008393356,-0.003582277,-0.002091562,-0.001146555,-0.000279002,-0.001569511,-0.003924733,-0.009012028,-0.015755909,-0.019234656,-0.021020977,-0.02128415,-0.019826207,-0.016577243,-0.016091725,-0.017382912
222,SLV,Keep,El Salvador,0.004354622,-0.002547329,-0.001333723,-0.001394644,-0.001017411,0.000356893,-0.000417234,-0.001911665,0.000845574,-0.001817561,-0.00435497,-0.010990595,-0.016397002,-0.019822061,-0.025267578,-0.028276933,-0.027853073,-0.026836144,-0.027214824,-0.024256307,-0.017297228
226,GNQ,Keep,Equatorial Guinea,0.129403733,0.011327562,-0.11263648,-0.181379347,-0.196706854,-0.178801036,-0.149393996,-0.127213357,-0.128020239,-0.120753908,-0.113347487,-0.093139748,-0.073199922,-0.067544625,-0.054010968,-0.044602258,-0.032611236,-0.017665927,-0.01022218,0.003286768,0.011610694
232,ERI,Keep,Eritrea,NA,NA,-0.021584109,-0.003033249,0.006878162,0.008021388,0.00817679,0.005560417,0.004751724,0.010257123,0.009821059,0.01252492,-0.002590458,-0.017685922,-0.019330689,-0.033473695,-0.031179643,-0.033717208,-0.025683197,-0.010994305,-0.000438114
233,EST,Keep,Estonia,NA,NA,NA,NA,NA,-0.067630283,-0.064240072,-0.060331081,-0.054469526,-0.04897384,-0.039730607,-0.024251936,-0.010810828,-0.004774965,0.00880583,0.017412183,0.015031468,0.004300696,-0.007412234,-0.01730223,-0.037655032
748,SWZ,Keep,Eswatini,-0.018646351,-0.017060912,-0.01765888,-0.01809903,-0.027984647,-0.027735617,-0.02911934,-0.039606602,-0.041464634,-0.042981542,-0.04120546,-0.042904349,-0.04589226,-0.043606404,-0.035182306,-0.03740935,-0.037702016,-0.035776938,-0.034434586,-0.031189536,-0.030795329
231,ETH,Keep,Ethiopia,-0.020017657,-0.026762459,-0.028112879,-0.013740463,-0.00857975,-0.008442636,-0.013248496,-0.022670003,-0.03073863,-0.032626977,-0.035882566,-0.044368284,-0.056072592,-0.059022117,-0.058217797,-0.0589261,-0.061519702,-0.063068668,-0.062137648,-0.060801475,-0.058913097
242,FJI,Keep,Fiji,-0.012288337,-0.013080683,-0.009939391,-0.013113478,-0.011497645,-0.005409645,-0.004788628,-0.002793261,-0.000181836,-0.005207457,-0.016564761,-0.016197467,-0.013426649,-0.01743596,-0.014473953,-0.01351302,-0.008047171,-0.004005049,-0.003169357,-0.008835553,-0.002814603
246,FIN,Keep,Finland,-0.017470233,-0.031978285,-0.036637451,-0.039773355,-0.033951338,-0.023822803,-0.026472403,-0.016508014,-0.014177507,-0.018620447,-0.020533776,-0.021543884,-0.024877764,-0.027085341,-0.022288903,-0.014983397,-0.019757461,-0.017859533,-0.023459219,-0.030141173,-0.036214854
250,FRA,Keep,France,-0.021573803,-0.024506624,-0.022839468,-0.022969902,-0.020695471,-0.021783149,-0.02185689,-0.019854716,-0.020567789,-0.019262829,-0.018849834,-0.019672572,-0.021458624,-0.022065356,-0.020658786,-0.022039246,-0.021295603,-0.021397593,-0.021751815,-0.02309677,-0.024214714
266,GAB,Keep,Gabon,0.009624225,0.018244312,0.018785093,0.021274932,0.025221067,0.018632766,0.009053472,-0.002156869,-0.030352708,-0.04195223,-0.049877838,-0.054099255,-0.05720956,-0.059586782,-0.053783971,-0.046871842,-0.039199381,-0.03425396,-0.043225088,-0.043587216,-0.045935824
270,GMB,Keep,Gambia,-0.010428705,-0.011543714,-0.016470816,-0.020203845,-0.023589549,-0.022863683,-0.01604587,-0.004258385,0.001458362,0.009587983,0.019422211,0.028193541,0.024998864,0.020550752,0.014751757,0.011815033,0.011762969,0.009394931,0.002608365,-0.008266917,-0.011204746
268,GEO,Keep,Georgia,0.015904554,-0.030066224,-0.073101118,-0.066195109,-0.049688498,-0.036695698,-0.043989081,-0.040907501,-0.041820901,-0.044852252,-0.03998769,-0.031286902,-0.024897183,-0.019980127,-0.017373209,-0.011762396,-0.005561329,0.001335632,0.001590158,-0.012850361,-0.019739675
